dayMonth,dayWeek,month,year,tide1,tide1Height,tide2,tide2Height,tide3,tide3Height,tide4,tide4Height
1,Tu,1,2013,01:28,0.7,07:33,1.5,14:08,0.7,20:06,1.5
2,We,1,2013,02:13,0.7,08:18,1.6,14:50,0.7,20:49,1.5
3,Th,1,2013,02:59,0.7,09:04,1.6,15:32,0.6,21:32,1.5
4,Fr,1,2013,03:45,0.6,09:51,1.6,16:13,0.6,22:16,1.6
5,Sa,1,2013,04:32,0.6,10:38,1.6,16:55,0.6,23:03,1.6
6,Su,1,2013,05:21,0.6,11:27,1.6,17:39,0.6,23:52,1.7
7,Mo,1,2013,06:11,0.5,12:17,1.6,18:26,0.5,,
8,Tu,1,2013,00:45,1.7,07:03,0.5,13:11,1.7,19:17,0.5
9,We,1,2013,01:40,1.7,07:57,0.5,14:07,1.7,20:11,0.5
10,Th,1,2013,02:36,1.8,08:55,0.5,15:05,1.7,21:10,0.5
11,Fr,1,2013,03:34,1.8,09:55,0.5,16:05,1.7,22:10,0.5
12,Sa,1,2013,04:32,1.8,10:57,0.5,17:05,1.7,23:11,0.5
13,Su,1,2013,05:31,1.8,11:59,0.5,18:03,1.7,,
14,Mo,1,2013,00:12,0.5,06:29,1.8,12:59,0.5,19:00,1.7
15,Tu,1,2013,01:11,0.5,07:26,1.8,13:57,0.5,19:55,1.7
16,We,1,2013,02:09,0.5,08:23,1.7,14:51,0.5,20:49,1.7
17,Th,1,2013,03:05,0.5,09:18,1.7,15:43,0.5,21:42,1.7
18,Fr,1,2013,04:00,0.5,10:12,1.7,16:33,0.5,22:34,1.7
19,Sa,1,2013,04:53,0.6,11:03,1.6,17:20,0.6,23:25,1.6
20,Su,1,2013,05:43,0.6,11:52,1.6,18:04,0.6,,
21,Mo,1,2013,00:13,1.6,06:29,0.6,12:39,1.5,18:47,0.6
22,Tu,1,2013,01:00,1.6,07:13,0.7,13:24,1.5,19:29,0.7
23,We,1,2013,01:44,1.6,07:56,0.7,14:08,1.5,20:11,0.7
24,Th,1,2013,02:27,1.5,08:38,0.7,14:53,1.4,20:54,0.7
25,Fr,1,2013,03:09,1.5,09:22,0.7,15:39,1.4,21:39,0.7
26,Sa,1,2013,03:52,1.5,10:10,0.7,16:26,1.4,22:26,0.7
27,Su,1,2013,04:37,1.5,11:00,0.7,17:14,1.4,23:14,0.7
28,Mo,1,2013,05:24,1.5,11:52,0.7,18:01,1.4,,
29,Tu,1,2013,00:04,0.7,06:12,1.5,12:43,0.7,18:48,1.5
30,We,1,2013,00:55,0.7,07:01,1.6,13:32,0.7,19:34,1.5
31,Th,1,2013,01:45,0.7,07:51,1.6,14:19,0.7,20:20,1.5
1,Fr,2,2013,02:36,0.6,08:41,1.6,15:05,0.6,21:07,1.6
2,Sa,2,2013,03:26,0.6,09:31,1.6,15:50,0.6,21:55,1.6
3,Su,2,2013,04:16,0.6,10:20,1.6,16:35,0.6,22:45,1.7
4,Mo,2,2013,05:07,0.5,11:10,1.7,17:21,0.5,23:36,1.7
5,Tu,2,2013,05:57,0.5,12:01,1.7,18:10,0.5,,
6,We,2,2013,00:29,1.7,06:48,0.5,12:54,1.7,19:01,0.5
7,Th,2,2013,01:23,1.8,07:41,0.5,13:48,1.7,19:54,0.5
8,Fr,2,2013,02:18,1.8,08:36,0.5,14:45,1.7,20:51,0.5
9,Sa,2,2013,03:15,1.8,09:34,0.5,15:43,1.7,21:49,0.5
10,Su,2,2013,04:11,1.8,10:34,0.5,16:42,1.7,22:49,0.5
11,Mo,2,2013,05:09,1.7,11:34,0.5,17:39,1.7,23:49,0.5
12,Tu,2,2013,06:06,1.7,12:34,0.5,18:35,1.7,,
13,We,2,2013,00:48,0.5,07:03,1.7,13:31,0.6,19:30,1.7
14,Th,2,2013,01:47,0.5,07:59,1.6,14:25,0.6,20:24,1.6
15,Fr,2,2013,02:43,0.6,08:54,1.6,15:16,0.6,21:16,1.6
16,Sa,2,2013,03:37,0.6,09:46,1.6,16:04,0.6,22:06,1.6
17,Su,2,2013,04:28,0.6,10:35,1.6,16:49,0.6,22:55,1.6
18,Mo,2,2013,05:15,0.6,11:21,1.5,17:32,0.6,23:41,1.6
19,Tu,2,2013,05:58,0.6,12:05,1.5,18:13,0.6,,
20,We,2,2013,00:24,1.6,06:39,0.7,12:47,1.5,18:53,0.7
21,Th,2,2013,01:06,1.6,07:17,0.7,13:28,1.5,19:32,0.7
22,Fr,2,2013,01:46,1.6,07:56,0.7,14:10,1.5,20:14,0.7
23,Sa,2,2013,02:28,1.6,08:37,0.7,14:55,1.4,20:57,0.7
24,Su,2,2013,03:11,1.6,09:22,0.7,15:42,1.4,21:45,0.7
25,Mo,2,2013,03:58,1.6,10:12,0.7,16:31,1.5,22:35,0.7
26,Tu,2,2013,04:47,1.6,11:06,0.7,17:22,1.5,23:29,0.7
27,We,2,2013,05:39,1.6,12:01,0.7,18:12,1.5,,
28,Th,2,2013,00:24,0.6,06:33,1.6,12:56,0.7,19:03,1.5
1,Fr,3,2013,01:20,0.6,07:27,1.6,13:48,0.6,19:53,1.6
2,Sa,3,2013,02:15,0.6,08:20,1.6,14:38,0.6,20:44,1.6
3,Su,3,2013,03:09,0.5,09:12,1.6,15:27,0.6,21:36,1.7
4,Mo,3,2013,04:02,0.5,10:03,1.7,16:16,0.5,22:28,1.7
5,Tu,3,2013,04:53,0.5,10:55,1.7,17:05,0.5,23:21,1.8
6,We,3,2013,05:44,0.5,11:46,1.7,17:55,0.5,,
7,Th,3,2013,00:14,1.8,06:35,0.5,12:38,1.7,18:47,0.5
8,Fr,3,2013,01:08,1.8,07:26,0.5,13:32,1.7,19:40,0.5
9,Sa,3,2013,02:02,1.8,08:19,0.5,14:27,1.7,20:35,0.5
10,Su,3,2013,02:57,1.7,09:14,0.5,15:24,1.7,21:32,0.5
11,Mo,3,2013,03:52,1.7,10:11,0.6,16:20,1.6,22:30,0.5
12,Tu,3,2013,04:48,1.7,11:09,0.6,17:16,1.6,23:29,0.6
13,We,3,2013,05:44,1.6,12:07,0.6,18:11,1.6,,
14,Th,3,2013,00:27,0.6,06:40,1.6,13:03,0.6,19:04,1.6
15,Fr,3,2013,01:24,0.6,07:34,1.6,13:55,0.6,19:56,1.6
16,Sa,3,2013,02:19,0.6,08:27,1.5,14:45,0.6,20:46,1.6
17,Su,3,2013,03:11,0.6,09:17,1.5,15:32,0.6,21:35,1.6
18,Mo,3,2013,04:00,0.6,10:04,1.5,16:16,0.6,22:21,1.6
19,Tu,3,2013,04:44,0.6,10:48,1.5,16:57,0.7,23:05,1.6
20,We,3,2013,05:25,0.6,11:29,1.5,17:37,0.7,23:46,1.6
21,Th,3,2013,06:03,0.7,12:09,1.5,18:16,0.7,,
22,Fr,3,2013,00:26,1.6,06:40,0.7,12:48,1.5,18:55,0.7
23,Sa,3,2013,01:06,1.6,07:17,0.7,13:29,1.5,19:36,0.7
24,Su,3,2013,01:48,1.6,07:57,0.7,14:14,1.5,20:20,0.7
25,Mo,3,2013,02:33,1.6,08:41,0.7,15:01,1.5,21:09,0.6
26,Tu,3,2013,03:22,1.6,09:30,0.7,15:53,1.5,22:01,0.6
27,We,3,2013,04:15,1.6,10:25,0.7,16:46,1.5,22:58,0.6
28,Th,3,2013,05:10,1.6,11:23,0.7,17:39,1.6,23:57,0.6
29,Fr,3,2013,06:07,1.6,12:21,0.6,18:34,1.6,,
30,Sa,3,2013,00:56,0.6,07:03,1.6,13:18,0.6,19:28,1.7
31,Su,3,2013,01:55,0.5,07:58,1.6,14:12,0.6,20:22,1.7
1,Mo,4,2013,02:51,0.5,08:53,1.7,15:05,0.5,21:17,1.7
2,Tu,4,2013,03:46,0.5,09:46,1.7,15:58,0.5,22:11,1.8
3,We,4,2013,04:39,0.4,10:38,1.7,16:50,0.5,23:05,1.8
4,Th,4,2013,05:30,0.4,11:31,1.7,17:42,0.5,,
5,Fr,4,2013,00:00,1.8,06:21,0.5,12:23,1.7,18:34,0.5
6,Sa,4,2013,00:54,1.8,07:12,0.5,13:17,1.7,19:28,0.5
7,Su,4,2013,01:47,1.7,08:03,0.5,14:11,1.7,20:22,0.5
8,Mo,4,2013,02:41,1.7,08:55,0.6,15:06,1.6,21:17,0.6
9,Tu,4,2013,03:35,1.6,09:49,0.6,16:00,1.6,22:13,0.6
10,We,4,2013,04:29,1.6,10:45,0.6,16:53,1.6,23:09,0.6
11,Th,4,2013,05:23,1.6,11:39,0.7,17:46,1.6,,
12,Fr,4,2013,00:05,0.6,06:16,1.5,12:32,0.7,18:36,1.6
13,Sa,4,2013,01:00,0.7,07:08,1.5,13:23,0.7,19:26,1.6
14,Su,4,2013,01:53,0.7,07:58,1.5,14:11,0.7,20:14,1.6
15,Mo,4,2013,02:43,0.7,08:46,1.5,14:56,0.7,21:00,1.6
16,Tu,4,2013,03:30,0.7,09:30,1.5,15:39,0.7,21:44,1.5
17,We,4,2013,04:12,0.7,10:13,1.5,16:21,0.7,22:27,1.5
18,Th,4,2013,04:51,0.7,10:53,1.5,17:00,0.7,23:08,1.5
19,Fr,4,2013,05:29,0.7,11:32,1.5,17:40,0.7,23:48,1.6
20,Sa,4,2013,06:05,0.7,12:11,1.5,18:20,0.7,,
21,Su,4,2013,00:30,1.6,06:43,0.6,12:53,1.5,19:03,0.7
22,Mo,4,2013,01:13,1.6,07:23,0.6,13:38,1.5,19:48,0.6
23,Tu,4,2013,02:00,1.6,08:07,0.6,14:27,1.6,20:38,0.6
24,We,4,2013,02:51,1.6,08:56,0.6,15:20,1.6,21:33,0.6
25,Th,4,2013,03:46,1.6,09:52,0.6,16:15,1.6,22:31,0.6
26,Fr,4,2013,04:44,1.6,10:51,0.6,17:11,1.7,23:32,0.5
27,Sa,4,2013,05:42,1.6,11:51,0.6,18:07,1.7,,
28,Su,4,2013,00:33,0.5,06:40,1.7,12:50,0.5,19:04,1.8
29,Mo,4,2013,01:34,0.5,07:37,1.7,13:47,0.5,20:00,1.8
30,Tu,4,2013,02:32,0.4,08:32,1.7,14:43,0.5,20:56,1.8
1,We,5,2013,03:28,0.4,09:27,1.7,15:38,0.5,21:53,1.8
2,Th,5,2013,04:22,0.4,10:20,1.7,16:33,0.5,22:49,1.8
3,Fr,5,2013,05:14,0.4,11:14,1.7,17:27,0.5,23:44,1.8
4,Sa,5,2013,06:06,0.5,12:08,1.7,18:21,0.5,,
5,Su,5,2013,00:39,1.7,06:56,0.5,13:02,1.7,19:15,0.5
6,Mo,5,2013,01:32,1.7,07:47,0.5,13:55,1.7,20:09,0.6
7,Tu,5,2013,02:25,1.6,08:37,0.6,14:49,1.6,21:03,0.6
8,We,5,2013,03:17,1.6,09:28,0.6,15:40,1.6,21:56,0.6
9,Th,5,2013,04:09,1.5,10:20,0.7,16:31,1.6,22:49,0.7
10,Fr,5,2013,05:00,1.5,11:10,0.7,17:19,1.6,23:42,0.7
11,Sa,5,2013,05:51,1.5,12:00,0.7,18:07,1.6,,
12,Su,5,2013,00:34,0.7,06:40,1.5,12:48,0.7,18:53,1.5
